행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시  (1100000000),"456,369","718,682","1,240,348","1,457,901","1,347,262","1,448,776","1,304,987","837,253","368,849","56,887","1,348"
서울특별시 종로구 (1111000000),"5,009","9,180","19,980","19,762","17,817","22,247","20,579","12,570","6,788","1,215",29
서울특별시 중구 (1114000000),"4,846","5,848","15,535","21,072","15,913","17,399","17,535","11,493","5,743","1,011",20
서울특별시 용산구 (1117000000),"9,757","12,571","25,829","36,715","28,443","30,920","27,522","16,087","8,469","1,589",46
서울특별시 성동구 (1120000000),"15,638","17,269","37,529","48,158","39,189","42,193","38,072","22,522","10,856","1,629",29
서울특별시 광진구 (1121500000),"13,372","22,928","54,406","56,560","45,382","50,214","45,394","26,855","11,819","1,839",38
서울특별시 동대문구 (1123000000),"17,774","23,459","55,489","55,186","47,821","52,169","48,488","31,601","15,159","2,176",51
서울특별시 중랑구 (1126000000),"16,287","23,038","44,495","58,728","50,069","60,767","64,006","38,634","16,456","2,339",57
서울특별시 성북구 (1129000000),"21,171","34,286","62,195","56,664","58,856","69,888","58,043","37,581","18,580","2,854",60
서울특별시 강북구 (1130500000),"9,428","17,864","33,737","34,116","35,591","47,814","47,295","32,655","16,138","2,105",43
서울특별시 도봉구 (1132000000),"11,558","21,072","32,746","36,888","38,964","51,195","52,860","33,668","15,877","2,395",72
서울특별시 노원구 (1135000000),"22,639","44,110","60,277","60,936","68,078","82,600","71,991","45,434","20,670","3,534",83
서울특별시 은평구 (1138000000),"20,047","33,276","54,933","66,508","63,497","75,772","68,465","44,526","21,239","3,055",67
서울특별시 서대문구 (1141000000),"14,948","21,874","44,692","44,883","41,490","46,964","41,411","25,932","13,794","2,198",47
서울특별시 마포구 (1144000000),"17,953","25,669","53,939","64,147","53,707","54,946","42,096","25,710","13,546","2,240",44
서울특별시 양천구 (1147000000),"22,517","45,871","45,678","51,428","68,662","70,862","61,807","38,168","14,078","2,231",62
서울특별시 강서구 (1150000000),"26,271","39,819","70,334","95,986","80,759","80,378","78,256","50,890","19,796","3,332",92
서울특별시 구로구 (1153000000),"19,182","26,808","45,387","61,257","53,897","59,232","57,555","39,197","16,149","2,208",39
서울특별시 금천구 (1154500000),"8,142","11,916","31,169","39,747","27,167","34,301","36,868","21,786","9,184","1,251",23
서울특별시 영등포구 (1156000000),"19,447","22,244","52,157","74,070","51,412","52,921","48,433","30,970","14,338","2,259",48
서울특별시 동작구 (1159000000),"17,102","25,117","59,360","61,599","50,179","55,764","49,467","33,244","15,613","2,337",53
서울특별시 관악구 (1162000000),"13,592","23,914","101,298","93,770","56,768","63,492","59,341","41,674","18,978","2,351",42
서울특별시 서초구 (1165000000),"26,403","45,725","47,383","57,135","70,509","67,591","48,104","32,652","13,706","2,222",64
서울특별시 강남구 (1168000000),"31,655","63,494","61,556","79,038","98,059","86,757","62,313","44,307","17,137","2,736",84
서울특별시 송파구 (1171000000),"39,759","57,546","75,409","106,370","104,205","97,917","87,541","54,502","19,309","3,298",86
서울특별시 강동구 (1174000000),"31,872","43,784","54,835","77,178","80,828","74,473","71,545","44,595","15,427","2,483",69
